fish,0.2559,-0.31452,-1.0079,0.1434,0.52982,0.31531,-0.82169,0.0060026,1.5235,-0.40637,0.20401,0.93042,2.061,0.73117,0.44506,-0.0043559,1.2895,-0.16854,-1.1219,-0.80836,-0.19725,-1.2056,1.2739,0.23962,0.44387,-0.77988,0.1557,0.28534,1.0253,-0.61694,2.5009,-0.41019,0.57532,0.51033,-0.060849,0.40419,-0.34696,0.38221,0.629,-0.22291,-0.32009,0.21292,1.0723,0.32437,1.3304,0.54586,-0.22236,-0.80589,0.16487,0.29792,animals
bird,0.78675,0.079368,-0.76597,0.1931,0.55014,0.26493,-0.75841,-0.8818,1.6468,-0.54381,0.33519,0.44399,1.089,0.27044,0.74471,0.2487,0.2491,-0.28966,-1.4556,0.35605,-1.1725,-0.49858,0.35345,-0.1418,0.71734,-1.1416,-0.038701,0.27515,-0.017704,-0.44013,1.9597,-0.064666,0.47177,-0.03,-0.31617,0.26984,0.56195,-0.27882,-0.36358,-0.21923,-0.75046,0.31817,0.29354,0.25109,1.6111,0.7134,-0.15243,-0.25362,0.26419,0.15875,animals
dog,0.11008,-0.38781,-0.57615,-0.27714,0.70521,0.53994,-1.0786,-0.40146,1.1504,-0.5678,0.0038977,0.52878,0.64561,0.47262,0.48549,-0.18407,0.1801,0.91397,-1.1979,-0.5778,-0.37985,0.33606,0.772,0.75555,0.45506,-1.7671,-1.0503,0.42566,0.41893,-0.68327,1.5673,0.27685,-0.61708,0.64638,-0.076996,0.37118,0.1308,-0.45137,0.25398,-0.74392,-0.086199,0.24068,-0.64819,0.83549,1.2502,-0.51379,0.04224,-0.88118,0.7158,0.38519,animals
tiger,0.33183,-0.60256,-0.046032,0.89941,0.26504,-0.02695,-0.89378,-0.21996,0.28162,-0.7974,-0.15519,-0.15385,-0.4443,-0.060597,0.17669,0.49661,1.0924,0.6526,-1.4514,0.5046,-1.4857,0.60573,0.51944,-0.39546,0.2653,-1.0493,-0.79394,-0.0085854,-0.2987,-0.41866,2.0018,-0.078285,-0.72413,1.3828,0.5019,0.35222,-0.37933,-0.81655,-0.59159,-1.0502,-0.55532,-0.46533,-0.3038,0.11061,1.3216,-0.34734,0.039552,0.046421,-0.086983,-0.45584,animals
cat,0.45281,-0.50108,-0.53714,-0.015697,0.22191,0.54602,-0.67301,-0.6891,0.63493,-0.19726,0.33685,0.7735,0.90094,0.38488,0.38367,0.2657,-0.08057,0.61089,-1.2894,-0.22313,-0.61578,0.21697,0.35614,0.44499,0.60885,-1.1633,-1.1579,0.36118,0.10466,-0.78325,1.4352,0.18629,-0.26112,0.83275,-0.23123,0.32481,0.14485,-0.44552,0.33497,-0.95946,-0.097479,0.48138,-0.43352,0.69455,0.91043,-0.28173,0.41637,-1.2609,0.71278,0.23782,animals
lion,0.60093,0.012934,-0.61032,-0.13871,1.2507,0.10128,-0.20073,-1.1283,0.60857,-0.16666,0.22419,0.61781,0.50102,-0.22303,-0.011922,0.24229,0.82199,0.5748,-1.9703,0.044589,0.22157,-0.26673,-0.005156,-0.36311,-0.42483,-0.79237,-1.557,0.22124,-0.32143,-0.46747,1.0604,0.84237,0.045337,0.86075,-0.085506,0.0058815,-0.16237,-1.0329,-0.25763,-0.65854,-0.13647,0.3653,-0.61384,-0.54004,0.24051,-0.23007,-0.31155,-1.3485,0.4327,-0.34512,animals
elephant,0.53238,-0.26987,-0.72294,-0.45325,1.0188,0.31013,-0.67626,-1.3509,1.4854,-0.51832,0.26574,0.10283,0.94469,-0.12249,0.54467,0.38361,1.0307,0.59792,-1.1687,0.45008,-0.74563,-0.2027,-0.36233,-0.084513,0.4107,-0.88857,-0.17601,0.44655,-0.29449,-0.72429,1.1036,0.16668,-0.15839,0.63755,-0.10105,0.8701,0.24232,-0.71078,-0.41333,-0.44293,-0.68612,0.11676,-0.31466,0.1242,1.1761,-0.45089,0.17163,-0.93316,0.3179,-0.85743,animals
monkey,0.28704,-0.60904,-0.74821,0.17686,0.92118,0.36994,0.10464,-1.0945,0.45246,0.75508,0.041291,0.61758,0.82508,0.7044,0.12365,-0.081073,-0.060157,0.90245,-1.2025,0.04606,-0.57476,-0.15483,0.45276,-0.087841,0.49575,-1.0462,-0.59215,0.40345,-0.11113,-1.3799,0.97611,-0.312,-0.75014,0.44309,-0.0056967,0.44116,0.073432,-0.76681,0.12938,-0.54472,-0.74424,0.19052,-0.80318,0.54953,1.1741,0.37876,0.93837,-1.0941,0.2474,-0.69492,animals
zebra,0.55187,-0.55757,-0.87654,0.19655,-0.30563,0.5857,-0.98501,-1.1661,1.1107,-0.17984,0.5406,0.55565,1.1487,-0.2913,-0.5693,0.24325,0.18264,-0.55738,-0.85243,-0.19324,-0.79782,0.25598,0.22989,0.29796,-0.5053,0.3876,-0.28487,0.64152,0.75176,-1.4718,0.13144,-0.48219,-0.077943,0.92818,-0.017554,-0.63378,-0.22195,-1.052,-0.36775,-0.36997,0.70562,-0.041422,0.63393,0.45642,0.34611,-0.48998,0.40178,-1.0439,-0.37666,0.15733,animals
giraffe,0.8454,-0.20614,-1.1094,-0.38644,0.7915,0.63976,-0.82535,-1.3888,0.72605,-0.29175,0.88466,0.029209,0.93826,0.21106,0.0059474,0.8038,0.35371,0.086044,-0.54181,0.49454,-1.217,0.6138,-0.66195,0.08868,-0.21948,0.61198,-0.3132,0.83538,-0.10864,-0.70175,-0.70622,0.18821,0.15043,0.97725,0.027834,0.10375,0.17843,-0.40562,0.12374,-0.25376,0.20968,0.1656,0.17587,0.44022,0.62472,-0.36059,0.33775,-0.52014,-0.039747,-0.22855,animals
france,0.66571,0.29845,-1.0467,-0.66932,-0.78082,-0.00013007,-0.17931,0.3711,-0.18622,-0.40535,0.98644,-0.60545,-0.94571,-0.69207,0.56681,-0.3861,0.027634,-1.2464,-0.73561,-0.52222,-0.061766,0.16771,-0.37462,0.4225,-0.63095,-1.636,-0.25094,0.04495,-0.39758,0.98099,2.6293,0.8348,-0.77338,0.39402,-0.57976,-1.029,-0.26709,0.98714,-0.51029,-0.42477,1.3956,-0.029347,2.2295,-1.7079,0.025562,0.6906,-0.579,-0.17824,0.42916,-0.5394,countries
germany,0.31098,0.05573,0.27293,-0.79354,0.15301,0.68547,-0.042667,0.23203,-0.90976,-0.71177,1.1649,-1.1234,-1.2657,-0.3255,0.96688,0.25919,0.57671,-0.55244,-0.73962,0.57585,0.67452,-1.1339,-0.74452,0.7491,-0.20376,-2.0823,0.081193,-0.29871,-0.64778,0.17616,2.4315,0.79447,0.40519,-0.011954,-1.1833,-0.91463,-0.013852,1.4251,-0.32726,-0.2092,0.76412,-0.55271,1.5657,-1.4095,0.51719,0.40492,-0.07026,0.2994,-0.34246,-0.28954,countries
canada,-0.72491,0.40524,-0.35895,0.65977,-0.27592,0.60496,-1.217,0.14638,0.85096,-0.74799,1.0267,-0.0491,0.40083,-0.11647,0.14594,0.32253,0.38807,-0.72773,-1.0039,-0.015682,0.66613,-0.30068,-0.01085,0.57758,-0.26283,-1.3647,0.17607,-0.54651,-0.40292,-0.14113,2.3757,0.60026,0.072329,-0.4139,-0.30918,-1.166,-0.15287,-0.18237,-0.075067,-0.30076,-0.073329,-0.19173,1.1995,-1.1107,-0.57754,1.011,-0.81894,-0.11035,0.015073,-0.03693,countries
mexico,0.41189,-0.093082,-0.18871,1.0692,-0.53433,-0.99734,-0.55511,0.32821,0.13527,0.56191,0.4153,-0.76649,0.64603,-0.18546,0.78123,-0.89799,-0.49891,-0.2208,-0.13527,0.18387,-0.71566,-0.76888,-0.080441,0.00049022,-0.52532,-1.8385,0.17512,0.33196,0.24221,-0.56305,2.6126,-0.0023889,-0.5464,-0.73415,-0.46359,-0.75214,-1.2924,0.2636,0.28462,0.026416,-1.0242,0.57252,1.4757,-1.2457,-0.62902,0.40549,-0.41026,-0.60271,0.13786,-0.079502,countries
spain,1.1595,0.21344,-0.36298,1.0122,-0.18473,-0.30199,-0.35055,0.8532,-0.71617,0.35008,1.1401,-0.58245,-0.33837,-0.36144,1.1036,-0.85338,-0.37948,-1.2075,-0.44249,0.10017,-1.0162,-0.76619,-0.6012,0.76406,-0.20989,-1.0587,0.4871,-0.63722,-0.35631,0.30415,2.6428,0.52948,-0.64095,0.11115,-0.44187,-0.54406,-0.67595,0.69745,-0.37146,-0.19252,0.54152,0.29873,1.4091,-1.291,-0.57823,0.52369,-0.44592,-0.61992,0.56161,-0.94449,countries
brazil,0.014697,-0.4585,-0.049365,1.1068,-0.34228,-0.99984,-0.59754,-0.021446,0.070466,1.0038,1.3814,-0.15615,-0.04429,-0.64585,1.2024,-0.35262,0.094759,-0.26553,-0.16363,-0.29023,-0.90477,-0.64781,-0.23873,0.42291,0.019089,-1.194,0.68176,-0.019443,-0.42695,0.073599,2.5519,0.61103,-0.57614,0.053781,-0.22584,-0.67029,-0.91667,0.71881,0.012405,-0.55416,-0.52862,0.33267,1.2562,-1.3472,-0.43544,1.2502,-0.12576,-0.060888,0.79752,-1.1951,countries
argentina,0.30309,-0.24835,-0.62801,1.068,-0.68397,-0.84683,-0.24429,0.69909,-1.1685,1.0031,1.0191,0.10211,-0.079516,-0.13184,1.1001,-0.91619,0.016927,-0.8497,-0.2852,0.28059,-1.1384,-0.78769,-0.43732,-0.061458,-0.39915,-0.76221,1.0491,-0.13895,-0.38365,-0.27953,2.5542,0.17744,0.011827,0.29512,-0.5911,-0.4105,-0.78927,0.40803,0.30279,-1.2068,-0.37791,-0.034194,1.8297,-1.5049,-0.38398,0.6953,-0.2524,-0.34135,0.60223,-0.84916,countries
usa,-1.256,0.67149,0.1418,1.5068,-0.54231,-0.014556,-1.0648,-0.60224,0.55127,-0.67244,0.39114,-0.55533,-0.54794,-0.37832,0.35629,0.15954,0.030876,0.31742,-0.87051,0.21663,-0.30207,0.12983,0.19678,0.79039,-0.56554,-0.82879,-0.19614,-0.82778,-0.6898,-1.0809,1.8179,-0.26586,0.065575,-0.1093,-0.66603,-1.1031,0.12164,-0.29828,-0.0003941,-0.72735,0.905,-0.74758,0.76054,-0.4513,0.10696,0.8653,-0.43969,-0.47675,-0.91554,0.9724,countries
chile,0.33182,-0.16513,-0.54672,1.3101,-0.21218,-1.0186,0.37209,0.74408,-0.44245,0.91286,1.1364,-0.14136,0.91118,0.13516,0.50375,-0.58401,-0.28697,-0.28799,-0.099173,0.34281,-0.62559,-0.6669,0.55828,-0.31568,-0.70793,-0.62918,0.62175,0.17831,-0.15781,-0.13469,2.2996,-0.14002,-0.5948,-0.053659,-0.55316,-0.49428,-0.91637,0.47785,0.73395,-0.33678,-0.38148,0.33915,1.4632,-1.6686,-0.45462,1.1551,-0.45897,-0.31092,-0.08207,-0.52606,countries
peru,0.56325,-0.10534,-0.21799,1.335,-0.35513,-0.98961,-0.02227,0.44863,-0.32069,0.72776,0.77992,-0.43826,0.70535,-0.20057,0.44197,-0.6322,-0.58263,0.019518,0.25073,0.66106,-0.93496,-0.023471,0.074304,-0.11181,-0.20324,-1.1545,0.39452,0.09372,-0.27182,-0.18068,1.8429,-0.37776,-1.1332,-0.17605,0.076909,-0.25296,-1.2729,-0.15811,0.16515,-0.32012,-0.76888,0.37513,1.3977,-1.3739,-0.57559,0.60141,-0.10711,0.10838,0.44186,-1.4398,countries
white,-0.68652,0.80125,-0.6124,-0.1512,0.997,0.81749,-1.2089,-1.0221,-0.94054,-1.2689,-0.68195,-0.12212,0.6122,0.045025,-0.10808,0.12482,-0.17278,-0.45383,-0.37728,-1.4081,-0.42975,0.31746,0.61391,-0.76399,-0.75504,-1.5605,-0.14924,1.2023,0.36776,-0.49137,2.6151,-0.37237,-0.80641,-0.56119,0.028241,-0.20089,-0.36429,-0.51476,-0.23074,-0.72258,-0.086035,0.47341,-0.035288,-0.04892,0.85295,-0.25883,-0.48159,-0.79552,-0.12247,-0.098168,colors
black,-0.96256,0.65329,-0.55152,-0.41065,0.80223,0.9833,-0.96007,-1.029,-0.47013,-0.6812,0.071232,-0.25591,0.60577,0.29845,-0.1837,-0.26064,-0.038707,0.11412,-0.72028,-1.2694,-0.73858,0.3357,0.44293,0.02566,-0.97692,-1.6867,-0.88665,0.75824,0.18836,-0.6932,2.6144,0.11718,-0.45564,-0.42953,-0.052095,0.11656,-0.66685,-0.86056,-0.093886,-0.74592,-0.062858,0.54547,0.28987,-0.26887,0.71881,-0.074307,-0.18512,-1.2621,-0.3246,-0.56563,colors
red,-0.12878,0.8798,-0.60694,0.12934,0.5868,-0.038246,-1.0408,-0.52881,-0.29563,-0.72567,0.21189,0.17112,0.19173,0.36099,0.032672,-0.2743,-0.19291,-0.10909,-1.0057,-0.93901,-1.0207,-0.69995,0.57182,-0.45136,-1.2145,-1.1954,-0.32758,1.4921,0.54574,-1.0008,2.845,0.26479,-0.49938,0.34366,-0.12574,0.5905,-0.037696,-0.47175,0.050825,-0.20362,0.13695,0.26686,-0.19461,-0.75482,1.0303,-0.057467,-0.32327,-0.7712,-0.16764,-0.73835,colors
green,-0.5767,0.86953,-0.49108,-0.1078,0.65377,0.32548,-1.326,-1.0114,-0.20658,-0.79937,-0.41455,0.084769,0.25426,-0.10999,-0.64696,0.17882,0.68277,-0.019661,-0.59745,-1.0414,-0.55979,-0.18503,0.49271,-0.53623,-0.63925,-0.91267,0.15709,1.3784,0.45686,-0.76237,2.5792,-0.22079,-0.59114,-0.17395,0.27835,0.30161,-0.12137,0.21278,0.23306,-0.74012,0.12318,-0.028115,-0.421,-0.60167,0.71802,0.19434,-0.11682,-1.1335,0.49009,-0.020496,colors
blue,-0.83751,0.69563,-0.51408,0.23689,0.59192,-0.027491,-1.2076,-0.98796,-0.27658,-0.4618,0.4715,0.13072,0.50393,0.50556,-0.66766,0.069073,-0.60984,-0.22776,-1.2481,-1.3521,-0.56051,-0.17952,0.22886,-0.69244,-1.1734,-0.98778,-0.81551,1.5513,0.36517,-1.1162,2.632,0.21987,0.10695,0.28438,-0.10348,-0.29667,-0.17645,-0.75838,0.085523,-0.83641,-0.12174,-0.063165,-0.072053,-0.30712,0.61861,-0.30867,0.012374,-1.1966,0.041525,-0.23966,colors
yellow,-0.18063,0.76194,-0.53856,0.07822,0.3489,0.38896,-0.51983,-0.66888,0.26164,-0.60095,0.39925,-0.093446,0.67184,0.011413,-0.24516,-0.52065,-0.67089,-0.21113,-0.89741,-1.4743,-1.2168,-1.0192,0.8226,-0.37338,-0.53138,-0.80159,-0.15924,1.9076,0.31224,-0.83472,2.2394,0.31135,-0.21577,0.17477,-0.15223,0.4988,-0.040134,-0.083109,-0.38235,-0.37043,0.50065,0.33966,-0.31732,-0.55932,1.0067,-0.26329,0.26995,-1.0854,0.47641,-1.1853,colors
orange,-0.42783,0.43089,-0.50351,0.5776,0.097786,0.2608,-0.68767,-0.31936,-0.25337,-0.37255,-0.045907,-0.53688,0.97511,-0.44595,-0.50414,-0.086751,-1.0645,0.36625,-0.52428,-1.3413,-0.2391,-0.58808,0.56378,-0.062501,-1.7429,-0.88077,-0.27933,1.4705,0.50436,-0.69174,2.0018,0.26663,-0.85679,-0.18893,-0.021125,-0.055118,-0.50337,-0.67157,0.55502,-0.8009,0.10695,0.1459,-0.55588,-0.64971,0.22046,0.67415,-0.45119,-1.1462,0.16348,-0.62946,colors
gray,-0.64556,0.50465,-0.54473,-0.41719,0.55394,0.37342,-1.1185,-1.094,-0.24813,-1.2286,-0.24688,0.45763,0.1383,0.23461,-0.015933,0.4482,-0.071958,-0.47912,-0.61465,-1.362,-0.82855,0.44151,0.40994,-0.85835,-0.6724,-0.89877,-0.51612,1.5431,0.27053,-0.0013926,1.4084,-0.78029,-0.014808,-0.64257,0.28192,0.10345,-0.31446,-0.22638,0.35096,-0.8508,-0.1199,0.91249,-0.015144,-0.23882,0.36892,-0.24001,0.052435,-1.4054,-0.036288,0.29872,colors
pink,-0.17271,0.95417,-0.84464,0.11818,0.087641,0.84337,-0.73347,-1.1093,-0.25643,0.097234,0.012908,0.13701,0.72675,0.33118,0.25684,-0.020378,-0.54783,-0.0069103,-0.38184,-1.3683,-0.80791,-0.22261,0.66085,-0.69439,-0.97622,-0.23337,-1.0628,2.0045,0.42777,-1.4457,1.6293,0.073724,-0.3537,0.55845,-0.28224,0.31409,0.2521,-0.37115,-0.19895,-1.2552,0.10809,0.08829,-0.47171,-0.70476,0.84641,-0.43109,0.0019027,-1.714,-0.11932,-0.51271,colors
purple,-0.51244,1.3755,-1.0203,-0.16129,0.46391,0.52021,-0.12554,-0.92437,-0.28947,-0.14339,0.33583,0.25146,1.0219,-0.12813,-0.39856,-0.076474,-0.69752,0.20905,-0.92861,-0.98031,-1.0163,-0.50338,1.1099,-1.046,-0.87251,-0.47121,-0.8332,1.7418,0.43909,-1.2089,1.461,0.31565,-0.3033,0.032728,-0.17728,0.49368,-0.0027891,-0.35415,-0.27876,-0.62239,0.094379,0.0017213,-0.68539,-0.81577,1.0079,-0.2438,-0.0022043,-1.4059,-0.43023,-0.56384,colors
